timestamp,condition,prompt_label,round,global_index,tokens,latency_sec,throughput_tok_sec,avg_power_watts,total_energy_joules,energy_source,joules_per_token,temp_end_c,throttle_reasons
2026-09-18T18:06:59.232797,vLLM FP16 Baseline (KV-cached),Code,6,18,250,2.471693,101.15,443.64,1068.87,nvml_counter,4.27548,61,1024
2026-09-18T18:07:02.140140,vLLM FP16 Baseline (KV-cached),Poem,7,19,250,2.48556,100.58,442.23,1067.94,nvml_counter,4.27176,61,1024
2026-09-18T18:07:05.048496,vLLM FP16 Baseline (KV-cached),Physics,7,20,250,2.491803,100.33,443.53,1069.362,nvml_counter,4.277448,61,1024
2026-09-18T18:07:07.962567,vLLM FP16 Baseline (KV-cached),Code,7,21,250,2.497606,100.1,444.17,1070.341,nvml_counter,4.281364,61,1024
2026-09-18T18:07:10.892420,vLLM FP16 Baseline (KV-cached),Poem,8,22,250,2.50382,99.85,442.74,1113.797,nvml_counter,4.455188,61,1024
2026-09-18T18:07:13.755901,vLLM FP16 Baseline (KV-cached),Physics,8,23,250,2.453083,101.91,443.7,1069.47,nvml_counter,4.27788,61,1024
2026-09-18T18:07:16.637885,vLLM FP16 Baseline (KV-cached),Code,8,24,250,2.47104,101.17,443.77,1069.499,nvml_counter,4.277996,61,1024
2026-09-18T18:07:19.543205,vLLM FP16 Baseline (KV-cached),Poem,9,25,250,2.484152,100.64,443.15,1069.815,nvml_counter,4.27926,61,1024
2026-09-18T18:07:22.452215,vLLM FP16 Baseline (KV-cached),Physics,9,26,250,2.492921,100.28,443.7,1068.792,nvml_counter,4.275168,61,1024
2026-09-18T18:07:25.367560,vLLM FP16 Baseline (KV-cached),Code,9,27,250,2.497968,100.08,444.26,1070.235,nvml_counter,4.28094,61,1024
2026-09-18T18:07:28.274563,vLLM FP16 Baseline (KV-cached),Poem,10,28,250,2.47733,100.92,442.84,1115.817,nvml_counter,4.463268,61,1024
2026-09-18T18:07:31.148799,vLLM FP16 Baseline (KV-cached),Physics,10,29,250,2.464759,101.43,445.6,1074.741,nvml_counter,4.298964,61,1024
2026-09-18T18:07:34.041232,vLLM FP16 Baseline (KV-cached),Code,10,30,250,2.478905,100.85,445.23,1073.04,nvml_counter,4.29216,61,1024
2026-09-18T18:11:21.321928,vLLM Speculative K=5 (KV-cached),Poem,1,1,250,2.036639,122.75,336.35,673.915,nvml_counter,2.69566,58,1024
2026-09-18T18:11:23.363195,vLLM Speculative K=5 (KV-cached),Physics,1,2,250,1.648983,151.61,335.44,576.065,nvml_counter,2.30426,58,1024
2026-09-18T18:11:24.997555,vLLM Speculative K=5 (KV-cached),Code,1,3,250,1.237871,201.96,335.69,406.728,nvml_counter,1.626912,58,1024
2026-09-18T18:11:27.658007,vLLM Speculative K=5 (KV-cached),Poem,2,4,250,2.024202,123.51,339.18,676.271,nvml_counter,2.705084,58,1024
2026-09-18T18:11:29.692974,vLLM Speculative K=5 (KV-cached),Physics,2,5,250,1.644674,152.01,336.25,572.694,nvml_counter,2.290776,58,1024
2026-09-18T18:11:31.302345,vLLM Speculative K=5 (KV-cached),Code,2,6,250,1.225903,203.93,334.72,440.02,nvml_counter,1.76008,58,1024
2026-09-18T18:11:33.963711,vLLM Speculative K=5 (KV-cached),Poem,3,7,250,2.023172,123.57,334.6,703.421,nvml_counter,2.813684,58,1024
2026-09-18T18:11:35.979039,vLLM Speculative K=5 (KV-cached),Physics,3,8,250,1.630646,153.31,336.86,543.089,nvml_counter,2.172356,58,1024
2026-09-18T18:11:37.617430,vLLM Speculative K=5 (KV-cached),Code,3,9,250,1.251084,199.83,334.41,404.071,nvml_counter,1.616284,58,1024
2026-09-18T18:11:40.309183,vLLM Speculative K=5 (KV-cached),Poem,4,10,250,2.051431,121.87,334.64,666.852,nvml_counter,2.667408,58,1024
2026-09-18T18:11:42.360857,vLLM Speculative K=5 (KV-cached),Physics,4,11,250,1.664112,150.23,333.7,537.331,nvml_counter,2.149324,58,1024
2026-09-18T18:11:44.009846,vLLM Speculative K=5 (KV-cached),Code,4,12,250,1.256964,198.89,333.83,436.691,nvml_counter,1.746764,58,1024
2026-09-18T18:11:46.658811,vLLM Speculative K=5 (KV-cached),Poem,5,13,250,2.012381,124.23,336.57,672.614,nvml_counter,2.690456,58,1024
2026-09-18T18:11:48.683394,vLLM Speculative K=5 (KV-cached),Physics,5,14,250,1.641165,152.33,334.93,569.906,nvml_counter,2.279624,58,1024
2026-09-18T18:11:50.318254,vLLM Speculative K=5 (KV-cached),Code,5,15,250,1.249079,200.15,333.2,401.818,nvml_counter,1.607272,58,1024
2026-09-18T18:11:53.011273,vLLM Speculative K=5 (KV-cached),Poem,6,16,250,2.053931,121.72,333.58,666.008,nvml_counter,2.664032,58,1024
2026-09-18T18:11:55.055749,vLLM Speculative K=5 (KV-cached),Physics,6,17,250,1.648578,151.65,334.06,538.907,nvml_counter,2.155628,58,1024
2026-09-18T18:11:56.682789,vLLM Speculative K=5 (KV-cached),Code,6,18,250,1.237061,202.09,335.83,440.854,nvml_counter,1.763416,58,1024
2026-09-18T18:11:59.339140,vLLM Speculative K=5 (KV-cached),Poem,7,19,250,2.019952,123.77,338.81,677.245,nvml_counter,2.70898,58,1024
2026-09-18T18:12:01.380030,vLLM Speculative K=5 (KV-cached),Physics,7,20,250,1.651335,151.39,336.47,540.991,nvml_counter,2.163964,58,1024
2026-09-18T18:12:02.997005,vLLM Speculative K=5 (KV-cached),Code,7,21,250,1.224982,204.08,334.95,405.893,nvml_counter,1.623572,58,1024
2026-09-18T18:12:05.635764,vLLM Speculative K=5 (KV-cached),Poem,8,22,250,2.009911,124.38,337.04,670.904,nvml_counter,2.683616,58,1024
2026-09-18T18:12:07.671414,vLLM Speculative K=5 (KV-cached),Physics,8,23,250,1.650217,151.5,333.9,568.648,nvml_counter,2.274592,58,1024
2026-09-18T18:12:09.297872,vLLM Speculative K=5 (KV-cached),Code,8,24,250,1.240071,201.6,334.08,440.274,nvml_counter,1.761096,58,1024
2026-09-18T18:12:11.971317,vLLM Speculative K=5 (KV-cached),Poem,9,25,250,2.032144,123.02,336.95,707.303,nvml_counter,2.829212,58,1024
2026-09-18T18:12:14.001783,vLLM Speculative K=5 (KV-cached),Physics,9,26,250,1.639731,152.46,335.46,577.915,nvml_counter,2.31166,58,1024
2026-09-18T18:12:15.635450,vLLM Speculative K=5 (KV-cached),Code,9,27,250,1.240679,201.5,335.13,408.853,nvml_counter,1.635412,58,1024
2026-09-18T18:12:18.321872,vLLM Speculative K=5 (KV-cached),Poem,10,28,250,2.044385,122.29,334.41,698.111,nvml_counter,2.792444,58,1024
2026-09-18T18:12:20.358978,vLLM Speculative K=5 (KV-cached),Physics,10,29,250,1.649771,151.54,332.4,535.603,nvml_counter,2.142412,58,1024
2026-09-18T18:12:21.998480,vLLM Speculative K=5 (KV-cached),Code,10,30,250,1.250846,199.86,332.49,435.232,nvml_counter,1.740928,58,1024
